Cluster,Average of PURCHASES_FREQUENCY,Min of PURCHASES,Max of PURCHASES
0,0.231623425,53.9,26784.62
1,1.269843229,8.4,49039.57
2,-1.011537861,0.01,3191
3,1.058806158,59.67,26582.34
4,0.560363788,70.81,4768.27
5,-0.183937931,14.28,9661.37
6,-0.80138027,1.4,17945
7,-1.221758057,0,0
8,0.024042586,34,22500
9,0.648304449,81,12375
10,-0.301564853,102.66,2569.94
11,0.850753612,58.32,41050.4
12,-0.596364908,4.44,12650
13,0.354746646,82.85,3504.74
14,-0.903282892,9.9,2900
15,0.951300202,69.23,4704.98
16,-0.094456414,62.72,2257.28
17,0.439310298,70,12784.51
18,0.143823273,72.9,2481.55
19,-0.394066397,0,22101.78
Grand Total,-2.23912E-15,0,49039.57
