,BALANCE,Cluster Number,,,,,,
0,40.900749,16,,,,,,
1,3202.467416,1,,,,,,
2,2495.148862,2,,,,,,
3,1666.670542,4,,,,,,
4,817.714335,11,,,,,,
5,1809.828751,4,,,,,,
6,627.260806,12,,,,,,
7,1823.652743,4,,,,,,
8,1014.926473,0,,,,,,
9,152.225975,13,,,,,,
10,1293.124939,7,,,,,,
11,630.794744,12,,,,,,
12,1516.92862,19,,,,,,
13,921.693369,11,,,,,,
14,2772.772734,8,,,,,,
15,6886.213231,8,,,,,,
16,2072.074354,14,,,,,,
17,41.089489,16,,,,,,
18,1989.072228,14,,,Row Labels,Average of BALANCE,Min of BALANCE2,Max of BALANCE3
19,3577.970933,3,,,0,1259.991197,942.329974,18495.55855
20,2016.684686,14,,,1,4542.516583,2981.811529,15244.74865
21,6369.531318,10,,,2,3534.209841,2342.724406,16304.88925
22,132.34224,13,,,3,4749.631152,3376.946886,16259.44857
23,3800.151377,3,,,4,2107.924134,1632.421395,16115.5964
24,5368.571219,3,,,5,408.1265468,283.691223,7760.5254
25,169.781679,17,,,6,1331.387568,1102.63215,12323.84536
26,1615.96724,19,,,7,1561.222604,1271.172501,15258.2259
27,125.694817,13,,,8,3863.726947,2637.334329,13763.47358
28,7152.864372,9,,,9,4934.258639,4338.558856,12474.72954
29,22.06349,16,,,10,4964.897755,3830.603522,13968.47957
30,12136.21996,2,,,11,955.7722318,765.109593,11734.26656
31,1162.273324,6,,,12,751.4907038,584.287125,8214.860286
32,6732.823064,3,,,13,119.1927862,66.618088,8781.831676
33,125.660453,13,,,14,2742.717299,1839.122533,13777.37772
34,3517.101616,3,,,15,549.5263764,422.723099,10495.73934
35,1656.350781,4,,,16,29.81888936,0,8220.740014
36,7427.076941,14,,,17,230.351536,162.54754,7081.171387
37,4047.480828,10,,,18,3121.047448,2075.637866,12358.32132
38,6269.418144,2,,,19,1864.088964,1447.267049,19043.13856
39,1411.60223,7,,,Grand Total,1564.474828,0,19043.13856
40,663.44781,12,,,,,,
41,784.889762,11,,,,,,
42,4104.710798,10,,,,,,
43,1360.742377,7,,,,,,
44,5315.945594,10,,,,,,
45,2242.311686,18,,,,,,
46,474.447149,15,,,,,,
47,3910.111237,10,,,,,,
48,229.867179,17,,,,,,
49,863.809833,11,,,,,,
50,4931.331857,9,,,,,,
51,1078.888565,0,,,,,,
52,1565.681099,19,,,,,,
53,464.674156,15,,,,,,
54,6.660517,16,,,,,,
55,1311.995984,7,,,,,,
56,3625.218146,3,,,,,,
57,2386.330629,2,,,,,,
58,3971.138765,10,,,,,,
59,5493.90406,1,,,,,,
60,1879.114033,14,,,,,,
61,1555.793701,19,,,,,,
62,809.582978,11,,,,,,
63,7.152356,16,,,,,,
64,1923.886805,14,,,,,,
65,1758.059987,4,,,,,,
66,809.847455,11,,,,,,
67,1576.305029,19,,,,,,
68,3990.523579,10,,,,,,
69,1699.435486,4,,,,,,
70,5487.683724,8,,,,,,
71,2990.422186,1,,,,,,
72,656.01301,12,,,,,,
73,1808.972419,4,,,,,,
74,532.334517,15,,,,,,
75,5860.433624,14,,,,,,
76,1727.638449,4,,,,,,
77,578.809679,15,,,,,,
78,1205.716678,6,,,,,,
79,6593.820644,2,,,,,,
80,17.357563,16,,,,,,
81,81.584711,13,,,,,,
82,3.78631,16,,,,,,
83,42.46443,16,,,,,,
84,1935.362486,14,,,,,,
