,BALANCE,Cluster Number,,,,,
0,40.900749,6,,,,,
1,3202.467416,5,,,,,
2,2495.148862,2,,Row Labels,Average of BALANCE,Min of BALANCE,Max of BALANCE
3,1666.670542,0,,0,1772.686839,1235.224095,19043.13856
4,817.714335,7,,1,4967.728861,3929.705042,13968.47957
5,1809.828751,4,,2,3862.301191,2391.214539,15532.33972
6,627.260806,3,,3,540.9572337,277.308988,10495.73934
7,1823.652743,4,,4,2853.719576,1766.619204,16304.88925
8,1014.926473,7,,5,4674.858858,3105.528894,16259.44857
9,152.225975,6,,6,88.15085509,0,8781.831676
10,1293.124939,0,,7,1142.159687,731.222335,18495.55855
11,630.794744,3,,Grand Total,1564.474828,0,19043.13856
12,1516.92862,0,,,,,
13,921.693369,7,,,,,
14,2772.772734,2,,,,,
15,6886.213231,2,,,,,
16,2072.074354,4,,,,,
17,41.089489,6,,,,,
18,1989.072228,4,,,,,
19,3577.970933,5,,,,,
20,2016.684686,4,,,,,
21,6369.531318,1,,,,,
22,132.34224,6,,,,,
23,3800.151377,5,,,,,
24,5368.571219,5,,,,,
25,169.781679,6,,,,,
26,1615.96724,0,,,,,
27,125.694817,6,,,,,
28,7152.864372,1,,,,,
29,22.06349,6,,,,,
30,12136.21996,2,,,,,
31,1162.273324,7,,,,,
32,6732.823064,5,,,,,
33,125.660453,6,,,,,
34,3517.101616,5,,,,,
35,1656.350781,0,,,,,
36,7427.076941,4,,,,,
37,4047.480828,1,,,,,
38,6269.418144,2,,,,,
39,1411.60223,0,,,,,
40,663.44781,3,,,,,
41,784.889762,7,,,,,
42,4104.710798,1,,,,,
43,1360.742377,0,,,,,
44,5315.945594,1,,,,,
45,2242.311686,4,,,,,
46,474.447149,3,,,,,
47,3910.111237,5,,,,,
48,229.867179,6,,,,,
49,863.809833,7,,,,,
50,4931.331857,1,,,,,
51,1078.888565,7,,,,,
52,1565.681099,0,,,,,
53,464.674156,3,,,,,
54,6.660517,6,,,,,
55,1311.995984,0,,,,,
56,3625.218146,5,,,,,
57,2386.330629,4,,,,,
58,3971.138765,1,,,,,
59,5493.90406,5,,,,,
60,1879.114033,4,,,,,
61,1555.793701,0,,,,,
62,809.582978,7,,,,,
63,7.152356,6,,,,,
64,1923.886805,4,,,,,
65,1758.059987,0,,,,,
66,809.847455,7,,,,,
67,1576.305029,0,,,,,
68,3990.523579,1,,,,,
69,1699.435486,0,,,,,
70,5487.683724,2,,,,,
71,2990.422186,2,,,,,
72,656.01301,3,,,,,
73,1808.972419,4,,,,,
74,532.334517,3,,,,,
75,5860.433624,4,,,,,
76,1727.638449,0,,,,,
77,578.809679,3,,,,,
78,1205.716678,7,,,,,
79,6593.820644,2,,,,,
80,17.357563,6,,,,,
81,81.584711,6,,,,,
82,3.78631,6,,,,,
83,42.46443,6,,,,,
84,1935.362486,4,,,,,
85,134.917202,6,,,,,
86,7069.950386,2,,,,,
87,8181.251131,2,,,,,
88,4037.305658,1,,,,,
89,6110.265264,2,,,,,
90,9381.255094,1,,,,,
91,1977.00709,4,,,,,
92,1321.47608,0,,,,,
93,1307.717841,0,,,,,
94,2329.485768,4,,,,,
95,1139.782882,7,,,,,
96,1619.955708,0,,,,,
97,3505.671311,5,,,,,
98,4.708041,6,,,,,
99,0,6,,,,,
100,4.875885,6,,,,,
101,23.394411,6,,,,,
102,3539.801912,5,,,,,
103,0.62424,6,,,,,
104,862.07238,7,,,,,
105,2441.542991,2,,,,,
106,408.656365,3,,,,,
107,4986.400804,1,,,,,
108,1246.624558,0,,,,,
109,6644.201651,3,,,,,
110,156.216753,6,,,,,
111,3393.351236,5,,,,,
112,5322.994094,2,,,,,
113,6458.56209,5,,,,,
114,175.341651,6,,,,,
115,680.195157,3,,,,,
116,223.763616,6,,,,,
117,1785.626943,4,,,,,
118,54.933231,6,,,,,
119,2662.629852,2,,,,,
120,8504.876253,1,,,,,
121,1464.324632,0,,,,,
122,2114.158683,4,,,,,
123,2876.396444,2,,,,,
124,14224.11541,2,,,,,
125,2392.917738,2,,,,,
126,57.453201,6,,,,,
127,4245.855092,1,,,,,
128,11167.23403,4,,,,,
129,69.405545,6,,,,,
130,116.654149,6,,,,,
131,4637.848144,1,,,,,
132,24.28497,6,,,,,
133,9354.06045,2,,,,,
134,231.108995,6,,,,,
135,1562.633343,0,,,,,
136,2494.868559,2,,,,,
137,706.132889,3,,,,,
138,19043.13856,0,,,,,
139,2235.103331,4,,,,,
140,947.13081,7,,,,,
141,764.042156,7,,,,,
142,5347.814547,5,,,,,
143,10598.46777,4,,,,,
144,2163.678757,4,,,,,
145,3057.400553,2,,,,,
146,19.354559,6,,,,,
147,264.811595,6,,,,,
148,1108.22253,7,,,,,
149,906.573724,7,,,,,
150,7679.62904,2,,,,,
